STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/13/1981,41.6,6,0,,999.9,,80.6, ,44.6, ,4.9,,0,G,9999.9,0,999.9,,875.9,6,64.4,6,8.3,6,2.1,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/16/1981,39.9,5,0,,999.9,,75.2, ,42.8, ,8,,0,G,9999.9,0,999.9,,999.9,0,61.5,5,11.1,5,2.4,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/20/1981,39.9,5,0,,999.9,,75.2, ,41, ,8,,0,G,9999.9,0,999.9,,877.2,5,61.5,5,9.4,5,3.6,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/22/1981,36.7,5,0,,999.9,,78.8, ,48.2, ,9.9,,0,G,9999.9,0,999.9,,877.3,5,65.8,5,12.4,5,6.1,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/23/1981,37.4,4,0,,999.9,,78.8, ,39.2, ,9.9,,0,G,9999.9,0,999.9,,877.9,4,65.3,4,7.8,4,5.7,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/25/1981,36.7,5,0,,999.9,,71.6, ,46.4, ,14,,0,G,9999.9,0,999.9,,880.8,5,61.5,5,11.2,5,12.1,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/26/1981,40.7,6,0,,999.9,,75.2, ,48.2, ,17.9,,0,G,9999.9,0,999.9,,879.8,6,63.5,6,16.6,6,8.1,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/28/1981,41.6,6,0,,999.9,,75.2, ,39.2,*,7,,0,G,9999.9,0,999.9,,877.9,6,54.8,6,14.5,6,3.6,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/29/1981,41.4,5,0,,999.9,,78.8, ,44.6, ,4.9,,0,G,9999.9,0,999.9,,878.5,4,63.7,5,13.4,5,2.7,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/30/1981,41.9,4,0,,999.9,,75.2,*,44.6, ,10.9,,0,G,9999.9,0,999.9,,879.7,4,68,4,12.9,4,5.1,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,7/31/1981,42.4,4,0,,999.9,,77, ,51.8, ,8,,0,G,9999.9,0,999.9,,878.6,4,66.2,4,17.1,4,6.5,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/1/1981,41,5,0,,999.9,,82.4,*,44.6, ,7,,0,G,9999.9,0,999.9,,878,5,66.2,5,10.9,5,3.1,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/2/1981,42.1,5,0,,999.9,,80.6, ,42.8, ,7,,0,G,9999.9,0,999.9,,875.5,5,70.2,5,9.3,5,2.8,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/3/1981,42.3,4,0,,999.9,,80.6,*,46.4, ,8,,0,G,9999.9,0,999.9,,876.7,4,64.9,4,5.9,4,5,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/4/1981,44,6,0,,999.9,,80.6, ,46.4, ,4.9,,0,G,9999.9,0,999.9,,876.9,6,64.4,6,8.1,5,2.3,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/5/1981,40.4,6,0,,999.9,,82.4, ,46.4, ,11.8,,0,G,9999.9,0,999.9,,877.2,6,68.3,6,9.6,6,8.2,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/6/1981,42.8,5,0,,999.9,,82.4, ,50,*,14,,0,I,9999.9,0,999.9,,877.1,5,70.9,5,11.8,5,8.4,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/7/1981,45,4,0,,999.9,,82.4, ,53.6, ,15,,0,G,9999.9,0,999.9,,878.1,4,72.5,4,11.7,4,12.4,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/10/1981,41.7,5,0,,999.9,,82.4, ,44.6, ,7,,0,G,9999.9,0,999.9,,875.8,4,72.3,5,9.1,5,1.7,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/11/1981,44.2,4,0,,999.9,,86, ,50, ,8.9,,0,G,9999.9,0,999.9,,875.5,4,66.7,4,999.9,0,2.7,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/12/1981,43.7,6,0,,999.9,,82.4,*,51.8, ,10.9,,0,G,9999.9,0,999.9,,875.2,6,71.9,6,9.5,6,4.3,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/14/1981,41,5,0,,999.9,,82.4, ,55.4, ,9.9,,0,G,9999.9,0,999.9,,876.1,5,73,5,7,5,7.5,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/15/1981,41.9,6,0,,999.9,,80.6, ,53.6, ,11.8,,0,G,9999.9,0,999.9,,877,6,69.5,6,7.8,6,8.6,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/17/1981,45.5,4,0,,999.9,,82.4,*,51.8,*,3.9,,0,I,9999.9,0,999.9,,874.4,4,69.8,4,8.2,4,2.9,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/19/1981,45.5,4,0,,999.9,,80.6, ,57.2, ,17.9,,0,G,9999.9,0,999.9,,878,4,73.4,4,11.2,4,12.2,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,8/21/1981,41.4,5,0,,999.9,,82.4, ,53.6, ,14,,0,G,9999.9,0,999.9,,877.9,5,73.8,5,11.3,5,8.7,5
